C,N,P,S,V,Ni,Nb,Al,Ti,Fe,Hf,Mo,Mn,Co,Si,Cr,Cu,DOI,url,SFE,Error,title,Author,temperature,experiment_type
0.004,0.003,0.025,0.001,0,15.6,0,0,0,64.317,0,2.5,0.03,0,0.02,17.5,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,51.6,0.014341085,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.02,0.009,0.022,0.001,0,15.6,0,0,0,64.188,0,2.5,0.03,0,0.03,17.6,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,54.6,0.023809524,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.02,0.002,0.027,0.002,0,14,0,0,0,66.409,0,2.4,0.03,0,0.01,17.1,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,50.3,0.02306163,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.005,0.001,0.026,0.002,0,15.6,0,0,0,63.866,0,2.6,0.19,0,0.01,17.7,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,52.8,0.012878788,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.016,0.008,0.025,0.002,0,10.8,0,0,0,68.899,0,0.3,0.85,0,0.1,19,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,35,0.023428571,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.026,0.038,0.024,0.002,0,11.2,0,0,0,68.23,0,0.3,1.18,0,0.1,18.9,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,35.2,0.026704545,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.003,0.004,0.025,0.002,0,12.1,0,0,0,68.232,0,2.6,0.02,0,0.014,17,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,42,0.014761905,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.009,0.003,0.024,0.002,0,12.2,0,0,0,68.016,0,2.7,0.03,0,0.016,17,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,42.5,0.021647059,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.018,0.004,0.027,0.002,0,12,0,0,0,68.305,0,2.7,0.03,0,0.014,16.9,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,42.1,0.026603325,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
0.046,0.004,0.026,0.002,0,11.9,0,0,0,68.562,0,2.7,0.03,0,0.03,16.7,0,10.1007/s11661-013-1943-0,http://link.springer.com/article/10.1007/s11661-013-1943-0,41.8,0.046889952,The Effect of Chemical Composition and Heat Treatment Conditions on Stacking Fault Energy for Fe-Cr-Ni Austenitic Stainless Steel,"Yonezawa, Toshio",300,TEM - WBDF
